Close,High,Low,Open,Volume,SMA_10,SMA_50,RSI,MACD,MACD_signal,EMA_20,WILLIAMS_R,STOCH_K,STOCH_D,ADX,CCI,OBV
0.19127442974933784,0.15748143931886532,0.17251188271992962,0.1963737926377518,0.5513694170458009,0.19075639916658885,0.0,0.4198192441266873,0.3915784539380719,0.5323419663220803,0.16973200237605227,0.3475597327551617,0.3475597327551617,0.3340936635547799,0.4167644209852377,0.36527129399430625,0.23751816991148972
0.21763740726287334,0.182479644781667,0.19300038205383865,0.19337513219760705,0.3818836464244344,0.18504872284248908,0.017132595882849638,0.45595402613513836,0.3893428347635866,0.5057288561673866,0.1676470707198532,0.4260188668737692,0.4260188668737692,0.40510550088130415,0.37851333046159574,0.4241482410987924,0.2762433941762297
0.18898205870682333,0.18543334858002916,0.1819905783787789,0.2223152220882554,0.464110030619362,0.1701598511633842,0.03211544868230163,0.41810270781845105,0.37880450104218655,0.4820705378090358,0.16199833204068892,0.34073738323178504,0.34073738323178504,0.3820727440788505,0.3465755657316137,0.41631449054054687,0.23366271209685335
0.2113331956008688,0.18701825745106684,0.17484514803863083,0.17740586343937978,0.44016065790379755,0.16125687540876807,0.04854498338265906,0.4503305285829459,0.3774483615317007,0.4628391757350063,0.1598222139963174,0.4456424545849598,0.4456424545849598,0.41592602596445827,0.3193313788420641,0.43876424458123825,0.2751204480915159
0.31399099492029553,0.2702975348170446,0.2600802023795034,0.24853554472969014,0.6017935269127898,0.1695781204411582,0.06759071474078847,0.5758760022205186,0.4078111325089294,0.45427621650234135,0.17133204449615833,0.9237967352274479,0.9237967352274479,0.5877342117429487,0.29066041460914455,0.6202544462631864,0.324156879343476
0.26792746527447586,0.2894604439481663,0.28129787493956004,0.3253835473021899,0.5812374422094484,0.17729234322987394,0.08367547791294982,0.5112982654417795,0.41728944186038586,0.4495555052884805,0.1756976803017452,0.7427270748598745,0.7427270748598745,0.7264810785908037,0.27021703080306764,0.620476700319321,0.27608428856904377
0.27559282348272934,0.2797348767782268,0.2645278920440906,0.2972105466955628,0.5390855371751508,0.1935638866919256,0.10020866877214517,0.52032818413777,0.42669521302503904,0.44789229407698994,0.1806539826524598,0.7721014627873588,0.7721014627873588,0.8391585066086518,0.2445283425853265,0.6162084608011469,0.32218044692148073
0.26262629575095325,0.22966646451328818,0.25359096118916,0.2720362065290803,0.34899118372367166,0.20787104051326089,0.11534925883087108,0.5014244540865226,0.42964015461570676,0.4472234162177822,0.18343578520020992,0.7224124847490504,0.7224124847490504,0.7696506700439472,0.2162321319827352,0.5689776233511566,0.28499749529348545
0.27265562402097887,0.26590303475202354,0.2739337148828105,0.29135283202149254,0.3799391703523306,0.22248170545643348,0.13072870865912753,0.5147179249506958,0.43450792031922697,0.447782039287046,0.18726947861097096,0.7608458327090464,0.7608458327090465,0.7759043649398687,0.20303851276722698,0.633728472826548,0.3236315463230045
0.25388640569643983,0.22959446317395293,0.24104993824167564,0.27447697418019396,0.22860138854136342,0.2274812063155217,0.14577916240432212,0.4850557314259756,0.4320374415250923,0.44767385241897734,0.1882737093338984,0.6889203877158793,0.6889203877158794,0.7471943910585445,0.17689861291679532,0.5839217737067647,0.29209347110764294
0.2874848193682452,0.2507743991378307,0.2702880712645003,0.2823570635153971,0.3990866689529487,0.23880384482583827,0.15983812013909204,0.5323590201999062,0.43982827364431926,0.4493378043161329,0.19359368243466632,0.8176727317199797,0.8176727317199797,0.7800734948704835,0.16052442641674536,0.6745202294353585,0.33162531636505227
0.29751414763827083,0.2654708068645967,0.3065986505511299,0.29944211785168606,0.30767311257302865,0.24820423765488142,0.17482322509995735,0.5461898638576355,0.44837657330578573,0.4525896605971768,0.1997238158695864,0.8561060796799757,0.8561060796799757,0.8129525986824223,0.15075550925333747,0.719181226321455,0.3668709326491291
0.3847697408334126,0.340825539875386,0.3268684201684375,0.3130404220619092,0.7165442051272262,0.27124575279969154,0.19291576954137693,0.6512589779120064,0.48099021200993053,0.4625190175442158,0.21672655710103728,0.993318455130973,0.993318455130973,0.9180156861395518,0.16612225477612239,0.8622135583758691,0.42128783153794735
0.29386063004950697,0.3040847404098888,0.2904119839853355,0.3296373867122768,0.7119339150853027,0.2809580958340257,0.2067403752678569,0.5070195098440015,0.47771129246268385,0.4697257713711928,0.22017386235950046,0.5902111152374282,0.5902111152374282,0.8395072386037862,0.16373350270222434,0.7179704500586637,0.3670871014487657
0.27817180922523305,0.2756286019219633,0.2767044396347147,0.31157604659697635,0.4182028050362748,0.27674267073320696,0.21774372418030175,0.4851796940562529,0.4693058679537336,0.473602581908276,0.22123295189649833,0.5157263237337004,0.5157263237337004,0.722025060180972,0.15545930608243475,0.6614957740652764,0.3266589324995181
0.22759513651364133,0.2175635340367919,0.2288735019072655,0.2641562236010461,0.4687830456958695,0.27199611081751557,0.22712462632602004,0.41830266435374897,0.44633203823486056,0.47154210151210363,0.21555059158098105,0.2891776054184299,0.28917760541842985,0.47899062732892583,0.12788897696960788,0.528446496282477,0.2838591405484013
0.22429972333264447,0.18665803090297484,0.19956260732052536,0.2122733647000387,0.40043593899035873,0.2659596189856735,0.23628018854751504,0.41406699837653255,0.42663616954919825,0.46546830473400613,0.20997672934995434,0.27441642022280943,0.2744164202228095,0.3699939903181706,0.10713157299302681,0.46412156737021837,0.24426403027258303
