Price,Close,High,Low,Open,Volume
Ticker,AAPL,AAPL,AAPL,AAPL,AAPL
Date,,,,,
2020-01-02,72.716064453125,72.77659055848162,71.4668047519516,71.72101143907315,135480400
2020-01-03,72.00911712646484,72.77174458511139,71.7839617851537,71.94132818321717,146322800
2020-01-06,72.5829086303711,72.62164622763687,70.87607527260708,71.12786596061405,118387200
2020-01-07,72.2415542602539,72.84923143823697,72.02123831231323,72.59260129853506,108872000
2020-01-08,73.40364837646484,73.70627893727402,71.943758846659,71.943758846659,132079200
2020-01-09,74.9627914428711,75.15647202012606,74.13237506994084,74.38415834268419,170108400
2020-01-10,75.13226318359375,75.69879404161257,74.62868922900458,75.19763610714092,140644800
2020-01-13,76.7374267578125,76.76406209011934,75.33080045122755,75.44943665950792,121532000
2020-01-14,75.70120239257812,76.88509646087522,75.57773417210761,76.67446681398555,161954400
2020-01-15,75.3768081665039,76.38396369325629,74.94343907710318,75.50028381601487,121923600
2020-01-16,76.32100677490234,76.43238014496747,75.55837921189631,75.92153589794125,108829200
2020-01-17,77.16595458984375,77.16837061022176,76.26290232469962,76.57037231867773,137816400
2020-01-21,76.64301300048828,77.23616451241722,76.50501168087581,76.79311658809118,110843200
2020-01-22,76.91658782958984,77.47100170840719,76.82216354627624,77.12963354237134,101832400
2020-01-23,77.28699493408203,77.3668861399878,76.42025699227077,76.96983874202517,104472000
2020-01-24,77.06424713134766,78.2796084989247,76.87298259611883,77.5339302350096,146537600
2020-01-27,74.79817199707031,75.48090092368226,73.81280512269632,75.06690438729518,161940000
2020-01-28,76.91414642333984,77.08603847633346,75.58257224071698,75.68183593003438,162234000
2020-01-29,78.52413940429688,79.37392820388496,77.80751245640747,78.55077473001256,216229200
2020-01-30,78.41035461425781,78.46361788035526,77.1707812088342,77.60415017442514,126743200
2020-01-31,74.93376159667969,78.12227353000715,74.63839382912653,77.69859068080466,199588400
2020-02-03,74.72795867919922,75.89731989448796,73.16880546652003,73.67237945985059,173788400
2020-02-04,77.19498443603516,77.38624896845539,75.93119925405388,76.3379328465804,136616400
2020-02-05,77.82447814941406,78.62584328517734,77.21921702642419,78.32562874403418,118826800
2020-02-06,78.73480987548828,78.73723328502086,77.53639691940887,78.09565777660133,105425600
2020-02-07,77.66456604003906,78.48239314790939,77.17192792843306,78.23243405494627,117684000
2020-02-10,78.03343200683594,78.03343200683594,76.16480809009461,76.24488890405078,109348800
2020-02-11,77.56263732910156,78.60373238920275,77.34422769426291,78.53093164624849,94323200
2020-02-12,79.40457153320312,79.409422447038,78.01401820106558,78.01401820106558,113730400
2020-02-13,78.8391342163086,79.16675238353734,78.47026476188894,78.67411425559266,94747600
2020-02-14,78.85855102539062,79.10851012138082,78.34892359887368,78.80758309855572,80113600
2020-02-18,77.41460418701172,77.5966134445047,76.34923977828454,76.5312490357775,152531200
2020-02-19,78.53579711914062,78.76634519119376,77.65730009675248,77.65730009675248,93984000
2020-02-20,77.7300796508789,78.78573476731503,77.222881436687,78.29552586031969,100566000
2020-02-21,75.97065734863281,77.76648785830864,75.35182886622782,77.32238114469776,129554000
2020-02-24,72.36201477050781,73.81808861613008,70.19004239437265,72.13875426152481,222195200
2020-02-25,69.91096496582031,73.4176795737371,69.43774534651452,73.03425000192122,230673600
2020-02-26,71.02001953125,72.28923357582319,69.5275449173606,69.53482499231708,198054800
2020-02-27,66.3775634765625,69.40620033933959,66.24166381662789,68.21707461192374,320605600
2020-02-28,66.3387451171875,67.56427882911555,62.215630206085294,62.431618127058165,426510000
2020-03-02,72.51490020751953,73.15314706398571,67.39680177602645,68.50341725278311,341397200
2020-03-03,70.21190643310547,73.77443320656704,69.35767141404621,73.69435237651876,319475600
2020-03-04,73.46865844726562,73.62882752036336,71.13651616592851,71.939783286025,219178400
2020-03-05,71.08554077148438,72.69449642985231,70.71909308665877,71.71650028960082,187572800
2020-03-06,70.14153289794922,70.57593051678296,68.24863907137488,68.43549929336439,226176800
2020-03-09,64.5938720703125,67.48660157527603,63.82457638904733,64.00658563730508,286744800
2020-03-10,69.24601745605469,69.51296580827801,65.37043395043041,67.25605431560939,285290000
2020-03-11,66.84107208251953,68.24618550081415,65.97470631539656,67.31672823268998,255598800
2020-03-12,60.240211486816406,65.52333473547242,60.18439634961911,62.11126834135515,418474000
2020-03-13,67.45748901367188,67.93071607578169,61.38565875889742,64.28325061879912,370732000
2020-03-16,58.779293060302734,62.873283657436204,58.242970742071286,58.71619413875295,322423600
2020-03-17,61.363826751708984,62.5165485741774,57.854685943845006,60.06549231026202,324056000
2020-03-18,59.86164093017578,60.66976261253334,57.54405525777932,58.18715696326524,300233600
2020-03-19,59.40296936035156,61.35896164078844,58.876356338925326,60.036361741511776,271857200
2020-03-20,55.631736755371094,61.11385462075303,55.330813454385684,59.98539501929856,401693200
2020-03-23,54.44989013671875,55.45215566699075,51.59598621533572,55.35023092369006,336752800
2020-03-24,59.91259765625,60.10916707001685,56.85969513959366,57.359613328429845,287531200
2020-03-25,59.582550048828125,62.67185273031452,59.286481367958,60.85176020184459,303602000
2020-03-26,62.71796417236328,62.77620476506975,59.786401276197694,59.825230806660564,252087200
2020-03-27,60.121299743652344,62.094277592448684,59.9538506329564,61.337120260245676,204216800
2020-03-30,61.8370475769043,62.0093513301557,60.52415303960045,60.84934577792082,167976400
2020-03-31,61.710845947265625,63.70081315714961,61.15511262455559,62.02875857181586,197002000
2020-04-01,58.46380615234375,60.35912878890937,58.031837774101646,59.82038104472191,176218400
2020-04-02,59.43936538696289,59.49275506292741,57.49065332322106,58.32546967140694,165934000
2020-04-03,58.585140228271484,59.626231543601605,57.99300285608874,58.9224639013772,129880000
2020-04-06,63.69596862792969,63.85127936413574,60.51930084799207,60.88817032671101,201820400
2020-04-07,62.95823287963867,65.93590997517624,62.853882651127485,65.71749287515834,202887200
2020-04-08,64.56961059570312,64.88509036892265,63.395044991841544,63.76148528714011,168895200
2020-04-09,65.03555297851562,65.54032952455171,64.2371442763535,65.20786042767898,161834800
2020-04-13,66.31204986572266,66.42125839971293,64.51136807094039,65.11321477612952,131022800
2020-04-14,69.66101837158203,69.95223619410436,67.47690692059525,67.9501340306998,194994800
2020-04-15,69.02519989013672,69.4862886004415,68.10302246952716,68.53256171861511,131154400
2020-04-16,69.57364654541016,69.94009422345636,68.5204205220071,69.7410956561746,157125200
2020-04-17,68.6296157836914,69.636739522461,67.18810198275611,69.08828263215949,215250000
2020-04-20,67.20509338378906,68.35781862849281,67.18568232250739,67.45263070247596,130015200
2020-04-21,65.12776947021484,67.28276042085989,64.41429253639382,67.0473614677832,180991600
2020-04-22,67.00367736816406,67.4404966317663,66.05723069304202,66.39940158614417,116862400
2020-04-23,66.74400329589844,68.37480642869768,66.7051737682157,66.94785276175145,124814400
2020-04-24,68.67089080810547,68.6806000437413,67.22209658899173,67.27063536119402,126161200
2020-04-27,68.71939849853516,69.0518674604123,67.93797201776925,68.38692213068452,117087600
2020-04-28,67.60550689697266,69.36492949955759,67.51329510571802,69.18292026480744,112004800
2020-04-29,69.82603454589844,70.29683242001799,68.89414803177873,69.0979975124322,137280800
2020-04-30,71.29910278320312,71.47626115798072,69.976506388418,70.36721610873765,183064000
2020-05-01,70.15121459960938,72.56101509610286,69.36978798695081,69.46685809785768,240616800
2020-05-04,71.14378356933594,71.27240315582554,69.48385993378157,70.17549663342325,133568000
2020-05-05,72.2115707397461,73.04638718577591,71.45926427424553,71.60487317175793,147751200
2020-05-06,72.95660400390625,73.58999276968885,72.5294865058915,72.91534530676655,142333600
2020-05-07,73.71131134033203,74.05834791180315,73.2817722099888,73.58512093632648,115215200
2020-05-08,75.46576690673828,75.51930110394392,74.04468608439737,74.37319104788544,133838400
2020-05-11,76.65325927734375,77.14965926401848,74.7625342106639,74.97180698726206,145946400
2020-05-12,75.77725982666016,77.79208148134276,75.65559183440632,77.33947268862552,162301200
2020-05-13,74.86229705810547,76.88198972405412,73.78188493945902,75.95730873840742,200622400
2020-05-14,75.32221221923828,75.38304620688119,73.37308887883164,74.09823268490378,158929200
2020-05-15,74.87690734863281,74.92314177584109,73.05188761996168,73.08595821938853,166348400
2020-05-18,76.64108276367188,77.0158221767727,75.51200790514008,76.20551679383226,135178400
2020-05-19,76.1982192993164,77.50736040977804,76.16658443916718,76.65812036126512,101729600
2020-05-20,77.68014526367188,77.75070734904016,77.02069943070256,77.05963407747018,111504800
2020-05-21,77.10100555419922,78.08408497746194,76.86253362412333,77.54144307709652,102688800
2020-05-22,77.597412109375,77.68014544919457,76.73600068439247,76.83819763463005,81803200
2020-05-26,77.07180786132812,78.89925602718259,77.01583791238306,78.71918977774382,125522000
2020-05-27,77.40760040283203,77.55360346730318,76.18605652967298,76.92823567989113,112945200
2020-05-28,77.44166564941406,78.70457981685169,76.80412665218442,77.08152577208277,133560800
2020-05-29,77.36621856689453,78.1473247460618,77.00851448794498,77.68498800975172,153532400
2020-06-01,78.31766510009766,78.43933305662227,77.18858289905835,77.3199863713913,80791200
2020-06-02,78.68025207519531,78.70458715753213,77.60713955055513,78.05001280060178,87642800
2020-06-03,79.1133804321289,79.37618740858451,78.42717129207927,79.00144797787304,104491200
2020-06-04,78.43204498291016,79.23505064541881,78.05730554159499,78.93575218035002,87560400
2020-06-05,80.6658706665039,80.72670465644849,78.65348495250613,78.68268407951567,137250400
2020-06-08,81.14280700683594,81.17687760567065,79.64872807646304,80.36170065582685,95654400
2020-06-09,83.70513153076172,84.09933458379527,80.7899715861673,80.82160644800746,147712400
2020-06-10,85.858642578125,86.32827910756656,84.21612516678438,84.65656257485465,166651600
